inchikey,smiles,value,tier,scaffold
RDHPKYGYEGBMSE-UHFFFAOYSA-N,CCBr,1.4212,tier1+confirmed,EMPTY_SCAFFOLD
SUVIGLJNEAMWEG-UHFFFAOYSA-N,CCCS,1.4353,tier1+confirmed,EMPTY_SCAFFOLD
WEVYAHXRMPXWCK-UHFFFAOYSA-N,CC#N,1.3416,tier1+confirmed,EMPTY_SCAFFOLD
BZHJMEDXRYGGRV-UHFFFAOYSA-N,C=CCl,1.366,tier1,EMPTY_SCAFFOLD
SNMVRZFUUCLYTO-UHFFFAOYSA-N,CCCCl,1.3858,tier1+confirmed,EMPTY_SCAFFOLD
JJWLVOIRVHMVIS-UHFFFAOYSA-N,CC(C)N,1.3711,tier1+confirmed,EMPTY_SCAFFOLD
WBJINCZRORDGAQ-UHFFFAOYSA-N,CCOC=O,1.3575,tier1+confirmed,EMPTY_SCAFFOLD
BTANRVKWQNVYAZ-UHFFFAOYSA-N,CCC(C)O,1.3949,tier1+confirmed,EMPTY_SCAFFOLD
KDSNLYIMUZNERS-UHFFFAOYSA-N,CC(C)CN,1.3945,tier1+confirmed,EMPTY_SCAFFOLD
QWTDNUCVQCZILF-UHFFFAOYSA-N,CCC(C)C,1.3509,tier1+confirmed,EMPTY_SCAFFOLD
AFABGHUZZDYHJO-UHFFFAOYSA-N,CCCC(C)C,1.3687,tier1+confirmed,EMPTY_SCAFFOLD
MHNNAWXXUZQSNM-UHFFFAOYSA-N,C=C(C)CC,1.3746,tier1+confirmed,EMPTY_SCAFFOLD
TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,1.3951,tier1+disputed,EMPTY_SCAFFOLD
ZGEGCLOFRBLKSE-UHFFFAOYSA-N,C=CCCCCC,1.3971,tier1+confirmed,EMPTY_SCAFFOLD
ZMXDDKWLCZADIW-UHFFFAOYSA-N,CN(C)C=O,1.4269,tier1+confirmed,EMPTY_SCAFFOLD
BKIMMITUMNQMOS-UHFFFAOYSA-N,CCCCCCCCC,1.4031,tier1+confirmed,EMPTY_SCAFFOLD
CRSOQBOWXPBRES-UHFFFAOYSA-N,CC(C)(C)C,1.339,tier1,EMPTY_SCAFFOLD
GXDHCNNESPLIKD-UHFFFAOYSA-N,CCCCC(C)C,1.3823,tier1+confirmed,EMPTY_SCAFFOLD
PAYRUJLWNCNPSJ-UHFFFAOYSA-N,Nc1ccccc1,1.5836,tier1+confirmed,c1ccccc1
UAEPNZWRGJTJPN-UHFFFAOYSA-N,CC1CCCCC1,1.4206,tier1+confirmed,C1CCCCC1
FKRCODPIKNYEAC-UHFFFAOYSA-N,CCOC(=O)CC,1.3814,tier1+confirmed,EMPTY_SCAFFOLD
HNRMPXKDFBEGFZ-UHFFFAOYSA-N,CCC(C)(C)C,1.3659,tier1+confirmed,EMPTY_SCAFFOLD
JVSWJIKNEAIKJW-UHFFFAOYSA-N,CCCCCC(C)C,1.3926,tier1+confirmed,EMPTY_SCAFFOLD
QQZOPKMRPOGIEB-UHFFFAOYSA-N,CCCCC(C)=O,1.3987,tier1+confirmed,EMPTY_SCAFFOLD
RDOXTESZEPMUJZ-UHFFFAOYSA-N,COc1ccccc1,1.5143,tier1+confirmed,c1ccccc1
YNQLUTRBYVCPMQ-UHFFFAOYSA-N,CCc1ccccc1,1.4932,tier1+confirmed,c1ccccc1
ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,CC(C)C(C)C,1.3728,tier1+confirmed,EMPTY_SCAFFOLD
HUMNYLRZRPPJDN-UHFFFAOYSA-N,O=Cc1ccccc1,1.5428,tier1+confirmed,c1ccccc1
KQNPFQTWMSNSAP-UHFFFAOYSA-N,CC(C)C(=O)O,1.3908,tier1+confirmed,EMPTY_SCAFFOLD
OBNCKNCVKJNDBV-UHFFFAOYSA-N,CCCC(=O)OCC,1.39,tier1+confirmed,EMPTY_SCAFFOLD
ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,CC(C)OC(C)C,1.3655,tier1+confirmed,EMPTY_SCAFFOLD
FLTJDUOFAQWHDF-UHFFFAOYSA-N,CCCCC(C)(C)C,1.391,tier1+confirmed,EMPTY_SCAFFOLD
KUMXLFIBWFCMOJ-UHFFFAOYSA-N,CCCC(C)(C)CC,1.3978,tier1+confirmed,EMPTY_SCAFFOLD
OCKPCBLVNKHBMX-UHFFFAOYSA-N,CCCCc1ccccc1,1.4874,tier1+confirmed,c1ccccc1
PGMYKACGEOXYJE-UHFFFAOYSA-N,CCCCCOC(C)=O,1.4028,secondary_tight,EMPTY_SCAFFOLD
SVONRAPFKPVNKG-UHFFFAOYSA-N,CCOCCOC(C)=O,1.4023,tier1+confirmed,EMPTY_SCAFFOLD
UWNADWZGEHDQAB-UHFFFAOYSA-N,CC(C)CCC(C)C,1.39,tier1+confirmed,EMPTY_SCAFFOLD
AOGQPLXWSUTHQB-UHFFFAOYSA-N,CCCCCCOC(C)=O,1.4073,tier1+confirmed,EMPTY_SCAFFOLD
GJRQTCIYDGXPES-UHFFFAOYSA-N,CC(=O)OCC(C)C,1.388,tier1+confirmed,EMPTY_SCAFFOLD
VZGDMQKNWNREIO-UHFFFAOYSA-N,ClC(Cl)(Cl)Cl,1.4573,tier1+confirmed,EMPTY_SCAFFOLD
