smiles,mean,std,n
C1Cc2ccccc2C1,60.4333,0.6429,3
C1Cc2ccccc2CO1,-63.1,0.0,1
C1Cc2ccccc2O1,-46.5,0.0,1
C1Cc2ccccc2c3ccccc13,154.85,0.3536,2
C1N2CN3CN1CN(C2)C3,198.45,0.7778,2
C1OC1COc2ccccc2,-110.7,9.5284,3
C1OCOCOCO1,-620.24,0.0,1
C1OCOCOCOCO1,-779.8,0.0,1
C1OCc2ccccc12,-30.1,0.0,1
C1SCC=C1,87.3,0.0,1
C1[C@H]2C[C@H]2[C@@H]3C[C@H]13,154.0,0.0,1
C1c2cc3ccccc3cc12,435.0,0.0,1
C1c2ccccc1cccc2,319.0,5.6569,2
C1c2ccccc2Cc3cc4ccccc4cc13,224.9,0.0,1
C1c2ccccc2c3ccccc13,172.8667,5.2367,3
C1c2cccccc1ccc2,400.0,0.0,1
C=C,52.435,0.0495,2
C=C(CCC(=C)c1ccccc1)c2ccccc2,285.0,0.0,1
C=C(CCCC(=C)c1ccccc1)c2ccccc2,259.0,0.0,1
C=C1C(=C)C1=C,396.0,0.0,1
C=C1C2CCC1CC2,60.0,0.0,1
C=C1C2CCC2C1=C,315.0,0.0,1
C=C1C=C2CCC2=CC1=C,359.0,0.0,1
C=C1C=CC(=C)C=C1,210.0,0.0,1
C=C1C=CC1=C,336.0,0.0,1
C=C1C=CC=C1,224.0,0.0,1
C=C1CC(=O)O1,-190.2,0.0,1
C=C1CC1,201.0,0.0,1
C=C1CC1c2ccccc2,294.5,3.5355,2
C=C1CC2CCC1CC2,-9.25,0.0,1
C=C1CCC(=C)CC1,64.39,0.0,1
C=C1CCC1=C,204.0,0.0,1
C=C1CCC=C1,115.0,0.0,1
C=C1CCCC(=C)C1,54.4,0.0,1
C=C1CCCC1,10.2,0.0,1
C=C1CCCC1=C,94.1,0.0,1
C=CC#C,295.0,0.0,1
C=CC#N,176.15,5.0205,2
C=CC(=C)C(=C)C=C,259.0,0.0,1
C=CC1(CC1)C=C,202.0,0.0,1
C=CC1=C(CC1)C=C,262.0,0.0,1
C=CC1CC1,129.1,2.9698,2
C=CC1CC2CC1C=C2,157.6,1.0392,3
C=CC1CCC=CC1,69.5,0.0,1
C=CC=C,110.35,2.192,2
C=CCC#N,157.7,0.0,1
C=CCC=C,106.3,0.0,1
C=CCCC=C,85.0,0.0,1
C=COC=C,-12.7,0.0,1
C=COc1ccccc1,23.0,0.0,1
C=CSC=C,106.0,0.0,1
C=C[C@@H]1CC2CC1C=C2,157.0,0.0,1
C=C[C@@H]1CC[C@H]1C=C,177.0,0.0,1
C=C[C@@H]1C[C@@H]2CC[C@@H]1C=C2,106.0,1.4142,2
C=C[C@H]1CC2CC1C=C2,157.0,0.0,1
C=C[C@H]1CC[C@H]1C=C,188.0,0.0,1
C=C[C@H]1C[C@@H]2CC[C@@H]1C=C2,105.5,0.7071,2
C=C[S](=O)(=O)C=C,-153.8,3.9598,2
C=C[S](=O)(=O)c1ccccc1,-129.0,0.0,1
C=C[S](=O)C=C,25.0,0.0,1
C=C\C=C/C=C,172.0,0.0,1
C=C\C=C\C=C,168.0,0.0,1
C=Cc1occc1,28.0,0.0,1
C=O,-112.25,5.1619,2
C=[N+]=[N-],210.5,6.364,2
CBr,-36.6,2.0075,3
CC,-84.1567,0.4557,3
CC#C,185.4,0.0,1
CC#CC,146.55,2.0506,2
CC#CC#CC,377.4,0.0,1
CC#CC#CC1CC1,484.7,0.0,1
CC#C[S](=O)(=O)c1ccc(C)cc1,10.4,0.0,1
CC#C[S](=O)(=O)c1ccccc1,43.5,0.0,1
CC#Cc1ccccc1,268.2,0.0,1
CC#N,69.95,5.7841,2
CC(=C)C#C,259.0,0.0,1
CC(=C)C#CC#CC(C)=C,494.1,0.0,1
CC(=C)C(=O)OCC1CO1,-394.2,0.0,1
CC(=C)C(O)=N,-157.7,0.0,1
CC(=C)C(O)=O,-369.75,3.4648,2
CC(=C)C=C,75.7,0.0,1
CC(=C)C=O,-106.4,0.0,1
CC(=C)C[S](=O)(=O)c1ccc(C)cc1,-241.0,0.0,1
CC(=C)[S](=O)(=O)c1ccc(C)cc1,-197.0,0.0,1
CC(=C)\C=C\C(C)=C,95.8,0.0,1
CC(=C)c1ccccc1,118.3,0.0,1
CC(=O)C(C)(C)C,-290.67,0.0,1
CC(=O)C(C)(C)C(C)(C)C,-347.7,0.0,1
CC(=O)C(C)=O,-326.8,0.0,2
CC(=O)C12CC3CC(CC(C3)C1)C2,-298.3,0.0,1
CC(=O)C1CC1,-115.3,0.0,1
CC(=O)C=C,-115.0,0.0,1
CC(=O)C=Cc1ccccc1,-48.1,0.0,1
CC(=O)C=O,-271.0,0.0,1
CC(=O)CBr,-180.0,0.0,1
CC(=O)CC(=O)C(F)(F)F,-998.3,7.0711,2
CC(=O)CC(C)(C)C,-320.5,0.0,1
CC(=O)CI,-130.6,0.0,1
CC(=O)Cc1ccccc1,-94.64,0.0,2
CC(=O)OC(C)(C)C,-516.5,0.0,1
CC(=O)OC(C)(C)OC(C)=O,-833.7,0.0,1
CC(=O)OC(Cc1ccccc1)OC(C)=O,-700.1,0.0,1
CC(=O)OC(OC(C)=O)C1(OC(C=C1)[N+]([O-])=O)OC(C)=O,-1285.0,0.0,1
CC(=O)OC(OC(C)=O)c1ccccc1,-676.85,0.0,1
CC(=O)OC(OC(C)=O)c1oc(cc1)[N+]([O-])=O,-772.0,0.0,1
CC(=O)OC(OC(C)=O)c1occc1,-773.0,0.0,1
CC(=O)OC1CCCCC1,-507.2,0.0,1
CC(=O)OC=C,-311.3,3.2527,2
CC(=O)OCOC(C)=O,-780.66,0.0,1
CC(=O)Oc1ccccc1,-279.85,0.2121,2
CC(=O)SC(C)=O,-317.0,0.0,1
CC(=O)\C=C(/C)Nc1ccc(cc1)[N+]([O-])=O,-98.9,0.0,1
CC(=O)c1c(C)[n+]([O-])c2ccccc2[n+]1[O-],33.1,0.0,1
CC(=O)c1c(C)cc(C)cc1C,-205.0,0.0,1
CC(=O)c1cc(C)c(C)cc1C,-189.0,0.0,1
CC(=O)c1ccccc1,-86.7,0.0,1
CC(Br)(Br)Br,-4.6,0.0,1
CC(Br)=O,-195.5,0.7071,2
CC(Br)Br,-41.0,0.0,1
CC(Br)C(C)Br,-102.9,0.0,1
CC(Br)CCBr,-97.28,0.0,1
CC(C#N)(C#N)C#N,424.7,3.1113,2
CC(C(C)=O)C(C)=O,-428.9,0.0,1
CC(C)(Br)CBr,-113.3,0.0,1
CC(C)(C#N)C#N,197.2,0.0,1
CC(C)(C#N)C(C)(C)C#N,100.8,0.2828,2
CC(C)(C#N)N1CCCCC1,24.03,0.0,1
CC(C)(C(O)=O)C(O)=O,-735.2,0.0,1
CC(C)(C)Br,-132.4,0.0,1
CC(C)(C)C,-167.4667,1.3051,3
CC(C)(C)C#C,106.6,0.4583,3
CC(C)(C)C#N,-3.3,0.0,1
CC(C)(C)C(=C)C(=C)C(C)(C)C,-71.0,0.0,1
CC(C)(C)C(=O)C#Cc1ccccc1,64.5,0.1414,2
CC(C)(C)C(=O)C(C)(C)C,-345.8,0.0,1
CC(C)(C)C(=O)CC(=O)C(C)(C)C,-528.4,0.0,1
CC(C)(C)C(C#N)C#N,126.7,0.0,1
CC(C)(C)C(C(C(C)(C)C)C(C)(C)C)C(C)(C)C,-251.0,0.0,1
CC(C)(C)C(C(C)(C)C)C(C)(C)C,-235.6,0.5657,2
CC(C)(C)C(C)(C)C,-226.05,0.2121,2
CC(C)(C)C(O)(C(C)(C)C)C(C)(C)C,-410.1,0.0,1
CC(C)(C)C(O)=N,-313.1,0.0,1
CC(C)(C)C12C3(C(C)(C)C)C1(C(C)(C)C)C23C(C)(C)C,26.0,0.0,1
CC(C)(C)C1=CC2=C(C=C(C2=C1)C(C)(C)C)C(C)(C)C,14.0,0.0,1
CC(C)(C)CC(=O)C(C)(C)C,-393.9,0.0,1
CC(C)(C)CC(=O)CC(C)(C)C,-421.2,0.0,1
