InChIKey,n_rows,n_datasets,datasets,target_min,target_max,dataset_rows,smiles_examples
BOHCMQZJWOGWTA-UHFFFAOYSA-N,2,2,mp;st,-23.0,0.03581,mp:933 | st:260,Cc1cccc(C#N)c1
JJYPMNFTHPTTDI-UHFFFAOYSA-N,2,2,mp;st,-30.0,0.03773,mp:937 | st:147,Cc1cccc(N)c1
YXFVVABEGXRONW-UHFFFAOYSA-N,2,2,mp;st,-93.0,0.027541,mp:951 | st:316,Cc1ccccc1
QSSXJPIWXQTSIX-UHFFFAOYSA-N,2,2,mp;st,-27.0,0.0341,mp:955 | st:81,Cc1ccccc1Br
CTQNGGLPUBDAKN-UHFFFAOYSA-N,2,2,mp;st,-25.0,0.02935,mp:956 | st:63,Cc1ccccc1C
BSKHPKMHTQYZBB-UHFFFAOYSA-N,2,2,mp;st,-70.0,0.03278,mp:969 | st:110,Cc1ccccn1
XBDQKXXYIPTUBI-UHFFFAOYSA-N,2,2,mp;st,-20.8,0.0255,mp:1023 | st:304,CCC(=O)O
RJUFJBKOKNCXHH-UHFFFAOYSA-N,2,2,mp;st,-88.0,0.0243,mp:1024 | st:266,CCC(=O)OC
HNRMPXKDFBEGFZ-UHFFFAOYSA-N,2,2,mp;st,-100.0,0.0157,mp:1032 | st:119,CCC(C)(C)C
QGJOPFRUJISHPQ-UHFFFAOYSA-N,2,2,mp;st,-112.0,0.03129,mp:3029 | st:190,S=C=S
