smiles,mean,std,n
CC(C)S,-106.6,0.0,1
CC(C)SC(C)C,-181.55,0.6364,2
CC(C)[C@H]1CO[C@@H](OC1)C(C)C,-601.0,0.0,1
CC(C)[C@H]1CO[C@H](OC1)C(C)C,-625.0,0.0,1
CC(C)[N+]([O-])=O,-181.75,2.0506,2
CC(C)[S](C)(=O)=O,-503.8,0.0,1
CC(C)\C=C/C(C)C,-151.1,0.0,1
CC(C)\C=C\C(C)C,-159.3,0.0,1
CC(C)c1cc(C(C)C)c(O)c(c1)C(C)C,-390.0,0.0,1
CC(C)c1cc(C)cc(C(C)C)c1Cl,-194.0,0.0,1
CC(C)c1cc(C)ccc1Cl,-111.6,0.0,1
CC(C)c1cc(C)ccc1O,-280.0,0.0,1
CC(C)c1cc(Cl)c(cc1C)C(C)C,-193.6,0.0,1
CC(C)c1cc(Cl)cc(C(C)C)c1C,-183.0,0.0,1
CC(C)c1cc(Cl)cc(c1)C(C)C,170.0,0.0,1
CC(C)c1cc(Cl)ccc1C,-108.0,0.0,1
CC(C)c1ccc(C(C)C)c(Cl)c1,-165.0,0.0,1
CC(C)c1ccc(C(C)C)c(O)c1,-330.0,0.0,1
CC(C)c1ccc(C)c(O)c1,-270.0,0.0,1
CC(C)c1ccc(C)cc1,-78.2,0.2828,2
CC(C)c1ccc(Cl)c(c1)C(C)C,-163.5,0.0,1
CC(C)c1ccc(Cl)cc1,-77.9,0.0,1
CC(C)c1ccc(O)c(C)c1,-280.0,0.0,1
CC(C)c1ccc(O)c(c1)C(C)C,-310.0,0.0,1
CC(C)c1ccc(cc1)C(=O)c2ccccc2,-119.0,0.0,1
CC(C)c1ccc(cc1)C(C)(C)OOC(C)(C)C,-352.1,0.0,1
CC(C)c1ccc(cc1)C(C)C,-132.3,0.0,1
CC(C)c1ccc(cc1)C2CC2,14.0,0.0,1
CC(C)c1cccc(C(C)C)c1O,-330.0,0.0,1
CC(C)c1cccc(C)c1,-78.45,0.3536,2
CC(C)c1cccc(C)c1O,-270.0,0.0,1
CC(C)c1cccc(O)c1,-260.0,0.0,1
